"cowcode","month","year","eventid","country","INI_IGRP1","TAR_IGRP1","VIC_IGRP1","INI_SGRP1","TAR_SGRP1","VIC_SGRP1","INI_PGRP1","TAR_PGRP1","VIC_PGRP1","KNOW_INI","AMBIG_INI","INI_TYPE","NGOV_I1","GOV_I1","TAR_TYPE","HUMAN_T1","GOV_T1","G_LVL_I","G_LVL_T","G_LVL_V","HUMAN_V1","GOV_V1","VIC_TYPE","DATE_TYP","day","JUL_PSD","JUL_PED","JUL_EED","JUL_LED","JUL_START_DATE","JUL_END_DATE","DAY_SPAN","N_INJURD","TAR_GPOL","GP_TYPE","aid","PUB_MON","PUB_DATE","PUB_YEAR","recap","NEWS_SOURCE","CODE_YEAR","CODE_MONTH","CODE_DAY","event","posthoc","EV_TYPE","linked","LINK_TYPE","FROM_EID","TO_EID","pinpoint","GP3","GP4","GP7","GP8","LOC_TYPE","PE_TYPE","SYM_TYPE","AD_VIOL","AD_TACT","EXP_TYPE","ATK_TYPE","DSA_TYPE","STAT_ACT","N_OF_INI_P","N_OF_INI_A","WEAP_GRD","N_KILLED_P","N_KILLED_A","E_LENGTH","N_INJURD_D","DAM_PROP","arrests","PER_ATK_I","PER_ATK_E","PUB_ORDER","retribution","POL_EXPRESS","INTANG_REP","MASS_EXPRESS","POL_VIOL","STAT_VIOL","ST_REPRESS","AMBIG_WGT","SC_ANIMOSITY","ANTI_GOV_SENTMNTS","CLASS_CONFLICT","POL_DESIRES","RETAIN_POWER","ECO_SCARCITY","PERS_SECURITY","QUASI_EVENT","coup","COUP_FAILED","region","ctry_bias","victim_effect","weapon","property_damaged","property_owner","state","city"
2,1,1946,"EID85623","United States",".",".",".",".",".",".",".",".",".",1,0,1,3,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,15,NA,NA,371,389,371,389,19,0,0,NA,19099860,1,25,1946,1,"NYT",2009,12,5,0,0,1,0,NA,"","",3,"UNITED STATES","NEW YORK",40.71429825,-74.0059967,2,8,NA,0,17,4,NA,NA,NA,NA,3000,1,0,0,3,0,0,0,0,0,0,0,NA,NA,1.200000048,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,5,1,NA,1,NA,NA,"New York","New York"
2,2,1946,"EID103872","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,4,13,NA,NA,406,411,406,411,6,0,0,NA,19098985,2,16,1946,1,"NYT",2010,1,30,0,0,1,1,0,"EID103872","EID103879",3,"UNITED STATES","BLOOMFIELD",40.51169968,-84.97389984,14,8,NA,0,17,4,NA,NA,NA,1500,1500,1,0,0,2,0,0,0,0,0,0,0,NA,NA,1.100000024,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,5,1,NA,1,NA,NA,"Indiana","Portland"
2,2,1946,"EID103879","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,6,NA,NA,NA,NA,6,NA,NA,1,15,411,411,NA,NA,411,411,1,0,0,NA,19098985,2,16,1946,0,"NYT",2010,1,30,1,0,1,0,NA,"","",3,"UNITED STATES","BLOOMFIELD",40.51169968,-84.97389984,14,9,4,0,17,2,NA,NA,NA,NA,7,1,0,0,1,0,0,0,0,0,0,0,1.899999976,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,13,1,NA,NA,"Indiana","Portland"
2,2,1946,"EID193251","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,403,403,NA,NA,403,403,1,0,0,NA,19144792,2,8,1946,0,"NYT",2010,9,28,1,0,1,0,NA,"","",3,"UNITED STATES","UNITED STATES",38,-97,14,8,NA,0,17,4,NA,NA,NA,30,30,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,6,"Kansas","Potwin"
2,2,1946,"EID193254","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,373,404,373,404,32,0,0,NA,19144792,2,8,1946,0,"NYT",2010,9,28,1,0,1,0,NA,"","",3,"UNITED STATES","UNITED STATES",38,-97,14,8,NA,0,17,4,NA,NA,NA,7000,7000,1,0,0,4,0,0,0,0,0,0,0,NA,NA,1.5,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,6,"Kansas","Potwin"
2,2,1946,"EID201286","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,18,414,414,NA,NA,414,414,1,0,0,NA,24105346,2,20,1946,0,"WSJ",2010,10,23,1,0,1,0,NA,"","",1,"UNITED STATES","UNITED STATES",38,-97,27,8,NA,0,17,4,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1.299999952,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,NA,"Kansas","Potwin"
2,2,1946,"EID216987","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,36,NA,NA,NA,NA,36,NA,NA,1,2,398,398,NA,NA,398,398,1,0,0,NA,19146188,2,4,1946,0,"NYT",2010,12,14,1,0,1,0,NA,"","",3,"UNITED STATES","LONG ISLAND",36.26739883,-75.82879639,2,8,NA,0,17,4,NA,NA,NA,500,500,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"North Carolina","Corolla"
2,2,1946,"EID217166","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,402,406,402,406,5,0,1,2,19144196,2,11,1946,0,"NYT",2010,12,14,1,0,1,1,1,"EID217166","EID217167",3,"UNITED STATES","LANCASTER COUNTY",40.25040054,-76.25,2,8,NA,0,17,4,NA,NA,NA,230,230,1,0,0,2,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,5,1,NA,1,NA,6,"Pennsylvania","Newmanstown"
2,2,1946,"EID217167","United States",".",".",".",".",".",".",".",".",".",1,0,1,6,NA,1,37,2,NA,2,2,37,2,NA,1,10,406,406,NA,NA,406,406,1,0,0,NA,19144196,2,11,1946,0,"NYT",2010,12,14,1,1,1,0,NA,"","",3,"UNITED STATES","LANCASTER COUNTY",40.25040054,-76.25,15,9,15,0,17,2,NA,NA,NA,15,15,1,0,0,1,0,0,0,0,0,0,0,2.799999952,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,NA,NA,"Pennsylvania","Newmanstown"
2,2,1946,"EID229927","United States",".",".",".",".",".",".",".",".",".",1,0,1,16,NA,1,37,23,NA,3,3,37,23,NA,3,27,NA,NA,423,423,423,423,1,0,0,NA,19140108,2,28,1946,0,"NYT",2011,1,31,1,0,1,0,NA,"","",3,"UNITED STATES","BRONX",40.85010147,-73.86620331,18,7,NA,0,17,4,NA,NA,NA,2500,2500,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1.200000048,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,5,1,13,1,NA,NA,"New York",NA
